player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards,birth_date
00-0037175,A.Brown,QB,BAL,2022,24.1,2,22,49,302.0,0,2.0,3,-5.0,0,0,0,0.0,0,5.58,-5.0,1998-07-27
00-0037175,A.Brown,QB,BAL,2022,,2,22,49,302.0,0,2.0,3,-5.0,0,0,0,0.0,0,5.58,-5.0,
00-0027973,A.Dalton,QB,CIN,2019,31.84,13,314,528,3494.0,16,14.0,32,73.0,4,1,1,-4.0,0,203.66,69.0,1987-10-29
00-0027973,A.Dalton,QB,DAL,2020,32.84,11,216,333,2170.0,14,8.0,28,114.0,0,1,1,-3.0,0,136.9,111.0,1987-10-29
00-0027973,A.Dalton,QB,CHI,2021,33.84,8,149,236,1515.0,8,9.0,16,76.0,0,0,0,0.0,0,84.2,76.0,1987-10-29
00-0027973,A.Dalton,QB,NO,2022,34.84,14,252,378,2871.0,18,9.0,30,54.0,0,0,0,0.0,0,174.24,54.0,1987-10-29
00-0027973,A.Dalton,QB,CAR,2023,35.84,2,34,58,361.0,2,0.0,3,12.0,0,0,0,0.0,0,23.640001,12.0,1987-10-29
00-0027973,A.Dalton,QB,CAR,2024,36.84,6,106,160,989.0,7,6.0,11,34.0,0,0,0,0.0,0,58.96,34.0,1987-10-29
00-0031288,A.McCarron,QB,HOU,2019,28.97,2,21,37,225.0,0,1.0,5,39.0,1,0,0,0.0,0,16.9,39.0,1990-09-13
00-0031288,A.McCarron,QB,HOU,2020,29.97,2,1,1,20.0,0,0.0,0,0.0,0,0,0,0.0,0,0.8,0.0,1990-09-13
00-0031288,A.McCarron,QB,CIN,2023,32.97,2,4,5,19.0,0,0.0,0,0.0,0,0,0,0.0,0,0.76,0.0,1990-09-13
00-0038579,A.O'Connell,QB,LV,2023,25.0,11,213,343,2218.0,12,7.0,17,11.0,1,0,0,0.0,0,125.82,11.0,1998-09-01
00-0038579,A.O'Connell,QB,LV,2024,26.0,9,154,243,1612.0,8,4.0,21,30.0,1,0,0,0.0,0,93.479996,30.0,1998-09-01
00-0039164,A.Richardson,QB,IND,2023,21.28,4,50,84,577.0,3,1.0,25,136.0,4,0,0,0.0,0,72.68,136.0,2002-05-22
00-0039164,A.Richardson,QB,IND,2024,22.28,11,126,264,1814.0,8,12.0,86,499.0,6,1,1,-1.0,0,163.36,498.0,2002-05-22
00-0023459,A.Rodgers,QB,GB,2019,35.75,18,400,635,4571.0,30,6.0,52,197.0,1,0,0,0.0,0,312.54,197.0,1983-12-02
00-0023459,A.Rodgers,QB,GB,2020,36.75,18,428,610,4941.0,53,6.0,42,146.0,4,1,1,-6.0,0,432.64,140.0,1983-12-02
00-0023459,A.Rodgers,QB,GB,2021,37.75,17,386,560,4340.0,37,4.0,33,101.0,3,1,1,-4.0,0,342.3,97.0,1983-12-02
00-0023459,A.Rodgers,QB,GB,2022,38.75,17,350,542,3695.0,26,12.0,34,94.0,1,0,0,0.0,0,239.2,94.0,1983-12-02
00-0023459,A.Rodgers,QB,NYJ,2023,39.75,1,0,1,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1983-12-02
00-0023459,A.Rodgers,QB,NYJ,2024,40.75,17,368,584,3897.0,28,11.0,22,107.0,0,0,0,0.0,0,256.58,107.0,1983-12-02
00-0023436,A.Smith,QB,WAS,2020,36.32,8,168,252,1582.0,6,8.0,10,3.0,0,0,0,0.0,0,71.58,3.0,1984-05-07
00-0029623,A.Tanney,QB,NYG,2019,31.81,1,1,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.04,0.0,1987-11-11
00-0032434,B.Allen,QB,DEN,2019,26.99,3,39,84,515.0,3,2.0,10,39.0,0,0,0,0.0,0,32.5,39.0,1992-09-05
00-0032434,B.Allen,QB,CIN,2020,27.99,5,90,142,925.0,5,4.0,13,27.0,0,1,0,0.0,0,49.699997,27.0,1992-09-05
00-0032434,B.Allen,QB,CIN,2021,28.99,5,17,34,149.0,2,0.0,7,-1.0,0,0,0,0.0,0,13.86,-1.0,1992-09-05
00-0032434,B.Allen,QB,CIN,2022,29.99,1,3,3,22.0,0,0.0,3,-1.0,0,0,0,0.0,0,0.78,-1.0,1992-09-05
00-0032434,B.Allen,QB,SF,2024,31.99,3,17,30,199.0,1,2.0,3,4.0,0,0,0,0.0,0,6.3599997,4.0,1992-09-05
00-0031407,B.Bortles,QB,LA,2019,27.34,2,1,2,3.0,0,0.0,2,-9.0,0,0,0,0.0,0,-0.78,-9.0,1992-04-28
00-0036384,B.DiNucci,QB,DAL,2020,23.77,2,23,43,219.0,0,0.0,6,22.0,0,0,0,0.0,0,6.96,22.0,1996-11-24
00-0027948,B.Gabbert,QB,TB,2020,30.88,4,9,16,143.0,2,0.0,9,16.0,0,0,0,0.0,0,15.320001,16.0,1989-10-15
00-0027948,B.Gabbert,QB,TB,2021,31.88,6,7,11,67.0,0,0.0,9,-7.0,0,0,0,0.0,0,1.98,-7.0,1989-10-15
00-0027948,B.Gabbert,QB,TB,2022,32.88,1,6,8,29.0,1,0.0,0,0.0,0,0,0,0.0,0,5.16,0.0,1989-10-15
00-0027948,B.Gabbert,QB,KC,2023,33.88,2,18,35,185.0,0,3.0,7,45.0,0,0,0,0.0,0,5.9000006,45.0,1989-10-15
00-0026625,B.Hoyer,QB,IND,2019,33.89,4,35,65,372.0,4,4.0,8,2.0,0,0,0,0.0,0,21.08,2.0,1985-10-13
00-0026625,B.Hoyer,QB,NE,2020,34.89,1,15,24,130.0,0,1.0,1,8.0,0,0,0,0.0,0,2.0,8.0,1985-10-13
00-0026625,B.Hoyer,QB,NE,2021,35.89,5,9,11,227.0,1,0.0,11,-8.0,0,0,0,0.0,0,12.28,-8.0,1985-10-13
00-0026625,B.Hoyer,QB,NE,2022,36.89,1,5,6,37.0,0,0.0,0,0.0,0,0,0,0.0,0,1.48,0.0,1985-10-13
00-0026625,B.Hoyer,QB,LV,2023,37.89,2,23,42,231.0,0,2.0,3,-3.0,0,0,0,0.0,0,4.94,-3.0,1985-10-13
00-0031589,B.Hundley,QB,ARI,2019,26.21,3,5,11,49.0,0,0.0,7,41.0,0,0,0,0.0,0,6.06,41.0,1993-06-15
00-0034855,B.Mayfield,QB,CLE,2019,24.38,16,318,535,3883.0,23,21.0,28,141.0,3,0,0,0.0,0,235.42,141.0,1995-04-14
00-0034855,B.Mayfield,QB,CLE,2020,25.38,18,349,557,4030.0,30,9.0,62,179.0,1,2,2,-2.0,0,282.9,177.0,1995-04-14
00-0034855,B.Mayfield,QB,CLE,2021,26.38,14,253,418,3010.0,17,13.0,37,134.0,1,0,0,0.0,0,179.8,134.0,1995-04-14
00-0034855,B.Mayfield,QB,CAR,2022,27.38,12,201,335,2163.0,10,8.0,31,89.0,1,0,0,0.0,0,121.42,89.0,1995-04-14
00-0034855,B.Mayfield,QB,TB,2023,28.38,19,412,643,4730.0,34,12.0,66,194.0,1,0,0,0.0,0,324.6,194.0,1995-04-14
00-0034855,B.Mayfield,QB,TB,2024,29.38,18,422,588,4685.0,43,16.0,67,401.0,3,0,0,0.0,0,381.5,401.0,1995-04-14
00-0039732,B.Nix,QB,DEN,2024,24.52,18,389,589,3919.0,30,12.0,96,473.0,4,1,1,2.0,1,331.26,475.0,2000-02-25
00-0035939,B.Perkins,QB,LA,2022,25.7,5,19,34,161.0,1,2.0,19,90.0,0,0,0,0.0,0,15.44,90.0,1996-12-20
00-0037834,B.Purdy,QB,SF,2022,22.68,12,155,233,1943.0,16,4.0,29,37.0,2,0,0,0.0,0,149.42,37.0,1999-12-27
00-0037834,B.Purdy,QB,SF,2023,23.68,19,374,552,5054.0,34,12.0,53,218.0,2,0,0,0.0,0,343.96,218.0,1999-12-27
00-0037834,B.Purdy,QB,SF,2024,24.68,15,300,455,3864.0,20,12.0,66,323.0,5,0,0,0.0,0,266.86002,323.0,1999-12-27
00-0022924,B.Roethlisberger,QB,PIT,2019,37.5,2,35,62,351.0,0,1.0,1,7.0,0,0,0,0.0,0,12.74,7.0,1982-03-02
00-0022924,B.Roethlisberger,QB,PIT,2020,38.5,16,446,676,4304.0,37,14.0,26,11.0,0,0,0,0.0,0,297.26,11.0,1982-03-02
00-0022924,B.Roethlisberger,QB,PIT,2021,39.5,17,419,649,3955.0,24,10.0,22,4.0,1,0,0,0.0,0,234.6,4.0,1982-03-02
00-0034955,B.Rypien,QB,DEN,2020,24.15,2,27,40,295.0,2,4.0,5,-5.0,0,0,0,0.0,0,11.3,-5.0,1996-07-09
00-0034955,B.Rypien,QB,DEN,2021,25.15,1,0,2,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0.0,1996-07-09
00-0034955,B.Rypien,QB,DEN,2022,26.15,4,53,88,483.0,2,4.0,6,7.0,0,0,0,0.0,0,18.02,7.0,1996-07-09
00-0034955,B.Rypien,QB,LA,2023,27.15,2,18,38,172.0,0,1.0,3,19.0,0,0,0,0.0,0,6.7799997,19.0,1996-07-09
00-0039150,B.Young,QB,CAR,2023,22.1,16,315,527,2877.0,11,10.0,39,253.0,0,0,0,0.0,0,156.38,253.0,2001-07-25
00-0039150,B.Young,QB,CAR,2024,23.1,14,234,384,2403.0,15,9.0,43,249.0,6,0,0,0.0,0,195.02,249.0,2001-07-25
00-0038108,B.Zappe,QB,NE,2022,23.35,4,65,92,781.0,5,3.0,10,0.0,0,1,1,-6.0,0,39.64,-6.0,1999-04-26
00-0038108,B.Zappe,QB,NE,2023,24.35,10,127,212,1272.0,6,9.0,17,83.0,1,0,0,0.0,0,69.18,83.0,1999-04-26
00-0038108,B.Zappe,QB,CLE,2024,25.35,1,16,31,170.0,1,2.0,2,2.0,0,0,0,0.0,0,7.0,2.0,1999-04-26
00-0033936,C.Beathard,QB,SF,2020,26.79,6,66,104,787.0,6,0.0,6,28.0,0,0,0,0.0,0,52.28,28.0,1993-11-16
00-0033936,C.Beathard,QB,JAX,2021,27.79,2,2,2,33.0,0,0.0,1,2.0,0,0,0,0.0,0,1.5200001,2.0,1993-11-16
00-0033936,C.Beathard,QB,JAX,2022,28.79,4,7,11,35.0,0,1.0,4,-4.0,0,0,0,0.0,0,-1.0,-4.0,1993-11-16
00-0033936,C.Beathard,QB,JAX,2023,29.79,6,40,53,349.0,1,0.0,8,35.0,0,0,0,0.0,0,21.46,35.0,1993-11-16
00-0026544,C.Daniel,QB,CHI,2019,32.9,3,45,64,435.0,3,2.0,6,6.0,0,0,0,0.0,0,26.0,6.0,1986-10-07
00-0026544,C.Daniel,QB,DET,2020,33.9,4,29,43,264.0,1,2.0,2,16.0,0,0,0,0.0,0,12.16,16.0,1986-10-07
00-0026544,C.Daniel,QB,LAC,2021,34.9,1,0,0,0.0,0,0.0,2,-2.0,0,0,0,0.0,0,-0.2,-2.0,1986-10-07
00-0026544,C.Daniel,QB,LAC,2022,35.9,3,8,12,52.0,1,0.0,1,4.0,0,0,0,0.0,0,8.4800005,4.0,1986-10-07
00-0026197,C.Henne,QB,KC,2020,35.17,4,34,46,314.0,2,1.0,9,10.0,1,0,0,0.0,0,25.56,10.0,1985-07-02
00-0026197,C.Henne,QB,KC,2021,36.17,4,11,16,82.0,0,0.0,8,0.0,0,0,0,0.0,0,3.28,0.0,1985-07-02
00-0026197,C.Henne,QB,KC,2022,37.17,3,5,9,23.0,1,0.0,6,-6.0,0,0,0,0.0,0,4.32,-6.0,1985-07-02
00-0028986,C.Keenum,QB,WAS,2019,31.54,10,160,247,1707.0,11,5.0,9,12.0,1,0,0,0.0,0,103.48,12.0,1988-02-17
00-0028986,C.Keenum,QB,CLE,2020,32.54,1,5,10,46.0,0,0.0,0,0.0,0,0,0,0.0,0,1.84,0.0,1988-02-17
00-0028986,C.Keenum,QB,CLE,2021,33.54,5,47,72,462.0,3,1.0,12,22.0,0,0,0,0.0,0,28.68,22.0,1988-02-17
00-0028986,C.Keenum,QB,BUF,2022,34.54,2,2,7,8.0,0,0.0,5,0.0,0,0,0,0.0,0,0.32,0.0,1988-02-17
00-0028986,C.Keenum,QB,HOU,2023,35.54,2,34,53,291.0,1,3.0,2,1.0,0,0,0,0.0,0,9.74,1.0,1988-02-17
00-0027688,C.McCoy,QB,WAS,2019,32.99,1,18,27,122.0,0,1.0,2,14.0,0,0,0,0.0,0,4.28,14.0,1986-09-05
00-0027688,C.McCoy,QB,NYG,2020,33.99,4,40,66,375.0,1,1.0,9,12.0,0,0,0,0.0,0,18.2,12.0,1986-09-05
00-0027688,C.McCoy,QB,ARI,2021,34.99,7,74,99,740.0,3,1.0,22,37.0,0,0,0,0.0,0,41.3,37.0,1986-09-05
00-0027688,C.McCoy,QB,ARI,2022,35.99,4,90,132,780.0,1,3.0,14,36.0,0,0,0,0.0,0,32.8,36.0,1986-09-05
00-0027939,C.Newton,QB,CAR,2019,30.31,2,50,89,572.0,0,1.0,5,-2.0,0,0,0,0.0,0,16.68,-2.0,1989-05-11
00-0027939,C.Newton,QB,NE,2020,31.31,15,242,368,2657.0,8,10.0,137,592.0,12,2,2,35.0,1,260.98,627.0,1989-05-11
00-0027939,C.Newton,QB,CAR,2021,32.31,7,69,126,684.0,4,5.0,47,230.0,5,0,0,0.0,0,86.36,230.0,1989-05-11
00-0037324,C.Oladokun,QB,KC,2024,27.0,1,0,0,0.0,0,0.0,1,5.0,0,0,0,0.0,0,0.5,5.0,1997-09-03
00-0033662,C.Rush,QB,DAL,2021,27.78,4,30,47,422.0,3,1.0,9,-8.0,0,0,0,0.0,0,24.080002,-8.0,1993-11-21
00-0033662,C.Rush,QB,DAL,2022,28.78,8,94,162,1051.0,5,3.0,9,6.0,0,0,0,0.0,0,56.64,6.0,1993-11-21
00-0033662,C.Rush,QB,DAL,2023,29.78,7,18,24,144.0,0,1.0,12,-5.0,0,0,0,0.0,0,3.26,-5.0,1993-11-21
00-0033662,C.Rush,QB,DAL,2024,30.78,12,187,308,1844.0,12,5.0,26,18.0,0,0,0,0.0,0,109.56,18.0,1993-11-21
00-0035752,C.Streveler,QB,ARI,2020,25.65,2,11,16,105.0,1,1.0,4,15.0,0,0,0,0.0,0,7.7000003,15.0,1995-01-06
00-0035752,C.Streveler,QB,ARI,2021,26.65,2,6,9,36.0,0,0.0,3,6.0,0,0,0,0.0,0,2.04,6.0,1995-01-06
00-0035752,C.Streveler,QB,NYJ,2022,27.65,1,10,15,90.0,0,0.0,9,54.0,0,0,0,0.0,0,9.0,54.0,1995-01-06
00-0039163,C.Stroud,QB,HOU,2023,21.91,17,354,553,4557.0,26,5.0,43,167.0,3,1,1,0.0,0,305.98,167.0,2001-10-03
00-0039163,C.Stroud,QB,HOU,2024,22.91,19,377,593,4254.0,21,13.0,64,317.0,0,1,0,0.0,0,251.86,317.0,2001-10-03
00-0038582,C.Tune,QB,ARI,2023,24.44,6,12,21,62.0,0,2.0,8,30.0,1,0,0,0.0,0,7.4799995,30.0,1999-03-23
00-0038582,C.Tune,QB,ARI,2024,25.44,5,2,2,8.0,0,0.0,7,-4.0,0,0,0,0.0,0,-2.08,-4.0,1999-03-23
00-0032950,C.Wentz,QB,PHI,2019,26.67,17,389,611,4042.0,27,7.0,62,243.0,1,0,0,0.0,0,275.98,243.0,1992-12-30
00-0032950,C.Wentz,QB,PHI,2020,27.67,12,251,437,2620.0,16,15.0,52,276.0,5,0,0,0.0,0,198.4,276.0,1992-12-30
00-0032950,C.Wentz,QB,IND,2021,28.67,17,322,516,3563.0,27,7.0,57,215.0,1,0,0,0.0,0,258.02,215.0,1992-12-30
00-0032950,C.Wentz,QB,WAS,2022,29.67,8,172,276,1755.0,11,9.0,22,86.0,1,0,0,0.0,0,112.8,86.0,1992-12-30
00-0032950,C.Wentz,QB,LA,2023,30.67,1,17,24,163.0,2,1.0,17,56.0,1,0,0,0.0,0,26.12,56.0,1992-12-30
00-0032950,C.Wentz,QB,KC,2024,31.67,2,12,19,118.0,0,0.0,3,0.0,0,0,0,0.0,0,4.7200003,0.0,1992-12-30
00-0039918,C.Williams,QB,CHI,2024,22.79,17,351,562,3541.0,20,6.0,81,489.0,0,0,0,0.0,0,254.54,489.0,2001-11-18
00-0035040,D.Blough,QB,DET,2019,24.09,5,94,174,984.0,4,6.0,8,31.0,0,1,1,19.0,1,55.36,50.0,1995-07-31
00-0035040,D.Blough,QB,DET,2020,25.09,1,6,10,49.0,0,1.0,1,18.0,0,0,0,0.0,0,1.76,18.0,1995-07-31
00-0035040,D.Blough,QB,DET,2021,26.09,1,0,0,0.0,0,0.0,1,6.0,0,0,0,0.0,0,0.6,6.0,1995-07-31
00-0035040,D.Blough,QB,ARI,2022,27.09,2,38,58,402.0,2,2.0,4,5.0,0,0,0,0.0,0,18.58,5.0,1995-07-31
00-0020531,D.Brees,QB,NO,2019,40.63,12,307,411,3187.0,28,5.0,10,1.0,1,0,0,0.0,0,233.58,1.0,1979-01-15
00-0020531,D.Brees,QB,NO,2020,41.63,14,322,463,3341.0,27,9.0,23,3.0,2,0,0,0.0,0,231.94,3.0,1979-01-15
00-0031280,D.Carr,QB,LV,2019,28.43,16,361,513,4054.0,21,8.0,27,82.0,2,0,0,0.0,0,246.36,82.0,1991-03-28
00-0031280,D.Carr,QB,LV,2020,29.43,16,348,517,4103.0,27,9.0,39,140.0,3,0,0,0.0,0,272.12,140.0,1991-03-28
00-0031280,D.Carr,QB,LV,2021,30.43,18,457,680,5114.0,24,15.0,41,128.0,0,0,0,0.0,0,271.36,128.0,1991-03-28
00-0031280,D.Carr,QB,LV,2022,31.43,15,305,502,3522.0,24,14.0,24,102.0,0,0,0,0.0,0,219.08,102.0,1991-03-28
00-0031280,D.Carr,QB,NO,2023,32.43,17,375,548,3878.0,25,8.0,32,40.0,0,0,0,0.0,0,241.12,40.0,1991-03-28
00-0031280,D.Carr,QB,NO,2024,33.43,10,189,279,2145.0,15,5.0,17,71.0,1,0,0,0.0,0,150.9,71.0,1991-03-28
