player_id,player_name,position,team,season,age_sept1,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,ppr_points,scrimmage_yards
00-0019596,T.Brady,QB,NE,2019,42.08,16,373,613,4057,24,8,26,34,3,0,0,0,0,263.68,34
00-0019596,T.Brady,QB,TB,2020,43.08,16,401,610,4633,40,12,30,6,3,0,0,0,0,337.92,6
00-0019596,T.Brady,QB,TB,2021,44.08,17,485,719,5316,43,12,28,81,2,0,0,0,0,374.74,81
00-0019596,T.Brady,QB,TB,2022,45.08,17,490,733,4694,25,9,29,-1,1,1,0,0,0,271.65999999999997,-1
00-0020531,D.Brees,QB,NO,2019,40.63,11,281,378,2979,27,4,9,-4,1,0,0,0,0,224.76,-4
00-0020531,D.Brees,QB,NO,2020,41.63,12,275,390,2942,24,6,18,-2,2,0,0,0,0,209.48000000000002,-2
00-0021206,J.McCown,QB,PHI,2019,40.16,2,3,5,24,0,0,2,-2,0,0,0,0,0,0.76,-2
00-0022127,J.Witten,TE,DAL,2019,37.32,16,0,0,0,0,0,0,0,0,83,63,529,4,139.9,529
00-0022127,J.Witten,TE,LV,2020,38.32,10,0,0,0,0,0,0,0,0,17,13,69,2,31.9,69
00-0022787,M.Schaub,QB,ATL,2019,38.19,5,50,67,580,3,1,3,-3,0,0,0,0,0,32.900000000000006,-3
00-0022787,M.Schaub,QB,ATL,2020,39.19,1,0,0,0,0,0,3,-4,0,0,0,0,0,-0.4,-4
00-0022803,E.Manning,QB,NYG,2019,38.66,4,91,147,1042,6,5,4,7,0,0,0,0,0,54.38,7
00-0022921,L.Fitzgerald,WR,ARI,2019,36.0,16,0,0,0,0,0,0,0,0,109,75,804,4,177.4,804
00-0022921,L.Fitzgerald,WR,ARI,2020,37.0,13,0,0,0,0,0,0,0,0,72,54,409,1,100.9,409
00-0022924,B.Roethlisberger,QB,PIT,2019,37.5,2,35,62,351,0,1,1,7,0,0,0,0,0,12.74,7
00-0022924,B.Roethlisberger,QB,PIT,2020,38.5,15,399,608,3803,33,10,25,11,0,0,0,0,0,267.22,11
00-0022924,B.Roethlisberger,QB,PIT,2021,39.5,16,390,605,3740,22,10,20,5,1,0,0,0,0,218.1,5
00-0022942,P.Rivers,QB,LAC,2019,37.73,16,390,591,4615,23,20,12,29,0,0,0,0,0,235.5,29
00-0022942,P.Rivers,QB,IND,2020,38.73,16,369,543,4169,24,11,18,-8,0,0,0,0,0,239.96,-8
00-0022942,P.Rivers,QB,IND,2025,43.73,3,58,92,544,4,3,2,-1,0,0,0,0,0,31.659999999999997,-1
00-0022943,B.Watson,TE,NE,2019,38.7,9,0,0,0,0,0,0,0,0,24,17,173,0,34.3,173
00-0023436,A.Smith,QB,WAS,2020,36.32,8,168,252,1582,6,8,10,3,0,0,0,0,0,71.58,3
00-0023459,A.Rodgers,QB,GB,2019,35.75,16,353,569,4002,26,4,46,183,1,0,0,0,0,278.38,183
00-0023459,A.Rodgers,QB,GB,2020,36.75,16,372,526,4299,48,5,38,149,3,1,1,-6,0,383.26,143
00-0023459,A.Rodgers,QB,GB,2021,37.75,16,193,273,2221,20,1,15,54,1,0,0,0,0,178.24,54
00-0023459,A.Rodgers,QB,GB,2022,38.75,17,350,542,3695,26,12,34,94,1,0,0,0,0,239.2,94
00-0023459,A.Rodgers,QB,NYJ,2023,39.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0
